Album_Name,Artist,Track_ID,Track_Name_Spotify,Artists_Spotify
"""Wagon Wheel"" (CD Single)",Darius Rucker,3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,['Darius Rucker']
"""Cups"" (CD Single)",Anna Kendrick,6mH3qVIeOsnQIAho5eWwhH,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,['Anna Kendrick']
"""Clouds"" (CD Single)",Zach Sobiech,1ad6CbExeZneBGswe5YuSD,Clouds,['Zach Sobiech']
"""Everything Has Changed (feat. Ed Sheeran)"" (CD Single)","Ed Sheeran, Taylor Swift",7qEUFOVcxRI19tbT68JcYK,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),"['Taylor Swift', 'Ed Sheeran']"
"""Paper Doll"" (CD Single)",John Mayer,5FDh0G5oQ2UD9JxWiDCT1x,Paper Doll,['John Mayer']
"""Treasure"" (CD Single)",Bruno Mars,1Q7Dv37oDgVMPmKAU0BiOS,Treasure,['Bruno Mars']
"""I Want Crazy"" (CD Single)",Hunter Hayes,4FkgULes13bk2eHrsJg4q9,I Want Crazy - Encore,['Hunter Hayes']
"""Clarity (feat. Foxes)"" (CD Single)",Zedd,4jIQ0wouzKHbi1fYHORIN0,Clarity (feat. Foxes) - Tiësto Remix,"['Zedd', 'Foxes']"
"""Wake Me Up"" (CD Single)",Avicii,0nrRP2bk19rLc0orkWPQk2,Wake Me Up,['Avicii']
"""Team"" (CD single)",Lorde,3G6hD9B2ZHOsgf4WfNu7X1,Team,['Lorde']
"""The Man"" (CD Single)",Aloe Blacc,2stPxcgjdSImK7Gizl8ZUN,The Man,['Aloe Blacc']
"""Ordinary Love"" (CD Single)",U2,5K8cyMKcnG4rx5ocW3u7OW,Ordinary Love - Extraordinary Mix,['U2']
"""Summer"" (CD single)",Calvin Harris,6YUTL4dYpB9xZO5qExPf05,Summer,['Calvin Harris']
"""Break Free (feat. Zedd)"" (CD single)",Ariana Grande,1AKT3bJ8YNO2QIE6sORpOi,Break Free (feat. Zedd),"['Ariana Grande', 'Zedd']"
"""Rude"" (CD single)",Magic!,6RtPijgfPKROxEzTHNRiDp,Rude,['MAGIC!']
"""Love Runs Out"" (CD single)",OneRepublic,5BJSZocnCeSNeYMj3iVqM7,Love Runs Out,['OneRepublic']
"""Heart Attack"" (CD Single)",Demi Lovato,1V6gIisPpYqgFeWbMLI0bA,Heart Attack,['Demi Lovato']
"""Give Your Heart a Break"" (CD Single)",Demi Lovato,3sP3c86WFjOzHHnbhhZcLA,Give Your Heart a Break,['Demi Lovato']
"""We Might Be Dead by Tomorrow"" (CD single)",Soko,4miKDdaWW78mKwx6TIvOa0,We Might Be Dead by Tomorrow,['Soko']
"""Take You There"" (CD single)",Donnie Klang,49sIaD9e0BZqYv8XjcGT6r,Take You There (feat. P. Diddy),"['Donnie Klang', 'Diddy']"
"""15 Minutes of Shame"" (CD single)",Kristy Lee Cook,1BElVaKN251cbheibKyXW5,15 Minutes Of Shame,['Kristy Lee Cook']
"""It's Alright, It's OK"" (CD single)",Ashley Tisdale,1bYtKF2sY2wLU6xdVaqIqD,"It's Alright, It's OK",['Ashley Tisdale']
"""No Surprise"" (CD single)",Daughtry,6q4XLE5WeOBWftoc9gTl2P,No Surprise,['Daughtry']
"""Fire Burning"" (CD single)",Sean Kingston,2oENJa1T33GJ0w8dC167G4,Fire Burning,['Sean Kingston']
"""The One"" (CD single)",Mary J. Blige,3h3GCDFiFOdLu3aKGF48tU,The One - Main,"['Mary J. Blige', 'Drake']"
"""Party in the U.S.A."" (CD single)",Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,['Miley Cyrus']
"""Down"" (CD single)",Jay Sean,6cmm1LMvZdB5zsCwX5BjqE,Down,"['Jay Sean', 'Lil Wayne']"
"""Whatcha Say"" (CD single)",Jason Derulo,67T6l4q3zVjC5nZZPXByU8,Whatcha Say,['Jason Derulo']
"""Replay"" (CD single)",Iyaz,5vlEg2fT4cFWAqU5QptIpQ,Replay,['Iyaz']
"Hey, Soul Sister (CD single)",Train,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",['Train']
"""Solo"" (CD single)",Iyaz,3fV2ZnSsxgvXUHshkGCBdR,Solo,['Iyaz']
"""Ridin' Solo"" (CD single)",Jason Derulo,6BaxqcoEM9r3LXisTyJjST,Ridin' Solo,['Jason Derulo']
"""Impossible"" (CD single)",Shontelle,1T8PwF3JhIiWwBhun23RNe,Impossible,['Shontelle']
"""Jar of Hearts"" (CD single)",Christina Perri,0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,['Christina Perri']
"""Pray for You"" (CD single)",Jaron and the Long Road to Love,68wTP3pPT5uAQsrwVX4DSS,Pray For You,['Jaron And The Long Road To Love']
"""The Only Exception"" (CD single)",Paramore,7JIuqL4ZqkpfGKQhYlrirs,The Only Exception,['Paramore']
"""Radioactive"" (CD single)",Kings of Leon,60CirPlTOEWOUBus7HxV3B,Radioactive,['Kings of Leon']
"""Animal"" (CD single)",Neon Trees,1fBl642IhJOE5U319Gy2Go,Animal,['Neon Trees']
"""Dancing Crazy"" (CD single)",Miranda Cosgrove,4Qqf0sthtAxufsWTicTHqN,Dancing Crazy,['Miranda Cosgrove']
"""Stereo Love"" (CD single)",Edward Maya and Vika Jigulina,35Dofxo9smHVxmFQbhYIAT,Stereo Love,"['Edward Maya', 'Vika Jigulina']"
"""Just a Kiss"" (CD Single)",Lady Antebellum,2OXidlnDThZR3zf36k6DVL,Just A Kiss,['Lady A']
"""Hair"" (CD Single)",Lady Gaga,2uk0YH2ahN0UE5jaCMa5jn,Hair,['Lady Gaga']
"""Monster"" (CD Single)",Paramore,04BSvYghzdxjSJNpee36er,Monster - Transformers Soundtrack Version,['Paramore']
"""Remind Me"" (CD Single)","Brad Paisley, Carrie Underwood",4ABua0yuWcpTotImEEJTaw,Remind Me (with Carrie Underwood),"['Brad Paisley', 'Carrie Underwood']"
"""Wanted You More"" (CD Single)",Lady Antebellum,129Q7yqxyiAz66mAd9BJgs,Wanted You More,['Lady A']
"""It Girl"" (CD Single)",Jason Derulo,4fINc8dnfcz7AdhFYVA4i7,It Girl,['Jason Derulo']
"""It Will Rain"" (CD Single)",Bruno Mars,0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,['Bruno Mars']
"""Good Feeling"" (CD Single)",Flo Rida,2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,['Flo Rida']
"""Without You"" (CD Single)","David Guetta, Usher",1tAutlhI9FwnKn7fVgmd5P,Without You (feat. Usher),"['David Guetta', 'Usher']"
"""Somebody That I Used to Know"" (CD Single)",Gotye,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,"['Gotye', 'Kimbra']"
"""Good Girl"" (CD Single)",Carrie Underwood,20DfkHC5grnKNJCzZQB6KC,Good Girl,['Carrie Underwood']
"""Take a Hint"" (CD Single)",Victoria Justice,1T20tqHKrePjszGOdbFOEd,Take A Hint,"['Victorious Cast', 'Victoria Justice', 'Elizabeth Gillies']"
"""Where Have You Been"" (CD Single)",Rihanna,5WQQIDU3HRaMyPkob8mpFb,Where Have You Been,['Rihanna']
"""Beauty and a Beat"" (CD Single)","Justin Bieber, Nicki Minaj",190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,"['Justin Bieber', 'Nicki Minaj']"
"""Everybody Talks"" (CD Single)",Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,Everybody Talks,['Neon Trees']
"""50 Ways to Say Goodbye"" (CD Single)",Train,2NniAhAtkRACaMeYt48xlD,50 Ways to Say Goodbye,['Train']
"""Two Black Cadillacs"" (CD Single)",Carrie Underwood,5mFYtqhN4T2D9IPSaZnVDw,Two Black Cadillacs,['Carrie Underwood']
"""Royals"" (CD Single)",Lorde,2dLLR6qlu5UJ5gk0dKz0h3,Royals,['Lorde']
"""Applause"" (CD single)",Lady Gaga,5ka2ajep9OAvU5Sgduhiex,Applause,['Lady Gaga']
"""Wrecking Ball"" (CD single)",Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,['Miley Cyrus']
"""Reflektor"" (CD Single)",Arcade Fire,7uMZy0bALAdneerERyr7Ks,Reflektor,['Arcade Fire']
"""Mmm Yeah (feat. Pitbull)"" (CD Single)",Austin Mahone,2n3CaPGPLYnYAvTEwKCX8t,Mmm Yeah (feat. Pitbull),"['Austin Mahone', 'Pitbull']"
"""All of Me"" (CD Single)",John Legend,3U4isOIWM3VvDubwSI3y7a,All of Me,['John Legend']
"""Not a Bad Thing"" (CD Single)",Justin Timberlake,3nB82yGjtbQFSU0JLAwLRH,Not a Bad Thing,['Justin Timberlake']
"""Play It Again"" (CD Single)",Luke Bryan,03fT3OHB9KyMtGMt2zwqCT,Play It Again,['Luke Bryan']
"""Classic"" (CD Single)",MKTO,6FE2iI43OZnszFLuLtvvmg,Classic,['MKTO']
"""Love Never Felt So Good"" (CD single)","Michael Jackson, Justin Timberlake",48td6xvpokdYwvbl3JIiXP,Love Never Felt So Good,"['Michael Jackson', 'Justin Timberlake']"
"""The Writing's on the Wall"" (CD single)",OK Go,2KWB1SkJ8v0ljkzwHzLvco,The Writing's on the Wall,['OK Go']
